Company Name,Industry,Sub-Industry,Location,Estimated Employees,Estimated Revenue Range,Website,Why They're A Fit,Recommended First Automation,Status,Verification Notes

MANUFACTURING — CONFIRMED
Accurate Perforating,Manufacturing,Metal Fabrication,Elk Grove Village,30-50,$5M-$15M,accurateperforating.com,Custom metal fabrication — complex PO matching and quality docs,AP Autopilot,CONFIRMED,Perforated metal sheets and coils manufacturer
Chicago Gasket,Manufacturing,Industrial Gaskets,Elk Grove Village,20-40,$3M-$8M,chicagogasket.com,Custom manufacturer with quoting and inventory management needs,Supplier Quote Analyzer,CONFIRMED,Chicago Gasket Co. — established manufacturer
Groov-Pin Corporation,Manufacturing,Precision Fasteners,Elk Grove Village,30-50,$5M-$12M,groov-pin.com,Precision parts — high volume of POs and quality certs,AP Autopilot,CONFIRMED,Precision fastener manufacturer
Midwest Metal Products,Manufacturing,Metal Casting,Chicago (South Side),20-40,$3M-$8M,midwestmetalproducts.com,Job shop with manual AP and quote comparison,AP Autopilot,CONFIRMED,Custom metal casting services
UniPunch Products,Manufacturing,Tooling/Dies,Elk Grove Village,15-30,$3M-$6M,unipunch.com,Tooling manufacturer with supplier quote and PO management pain,Supplier Quote Analyzer,CONFIRMED,C-frame punching units and tooling
Laystrom Manufacturing,Manufacturing,Contract Manufacturing,Elk Grove Village,20-40,$3M-$8M,laystrom.com,Contract manufacturer with quality cert and compliance documentation,Quality Docs,CONFIRMED,Precision metal fabricators
Fox Valley Molding,Manufacturing,Injection Molding,Aurora,25-40,$5M-$10M,foxvalleymolding.com,Injection molder with high supplier count and manual AP processes,AP Autopilot,CONFIRMED,Fox Valley Molding — injection molding
Camcraft,Manufacturing,Precision Machining,Elk Grove Village,40-70,$8M-$15M,camcraft.com,Precision machined components — ISO quality docs and complex supplier management,Quality Docs,CONFIRMED,Precision machined components manufacturer
Kreher Steel,Manufacturing,Steel Processing,Elk Grove Village,20-40,$5M-$12M,kreher.com,Steel service center — high invoice volume and supplier management,AP Autopilot,CONFIRMED,Kreher Steel — steel processing
BFR Metals,Manufacturing,Metals/Fabrication,Chicago Area,15-30,$3M-$8M,bfrmetals.com,Metal fabrication/distribution with AP and quoting needs,AP Autopilot,CONFIRMED,BFR Metals — metals company
Method MFG,Manufacturing,Contract Manufacturing,Chicago Area,20-40,$3M-$8M,methodmfg.com,Contract manufacturing — quoting and production tracking needs,Production Dashboard,CONFIRMED,Method MFG — enhance your manufacturing
Cloyes Gear & Products,Manufacturing,Automotive Parts,Elk Grove Village,40-60,$8M-$15M,cloyes.com,Automotive aftermarket parts — high volume POs and supplier management,AP Autopilot,CONFIRMED,Cloyes Gear & Products — automotive timing components
Wirefab,Manufacturing,Wire Forming,Chicago Area,15-30,$3M-$6M,wirefab.com,Wire forming and fabrication — custom job shop with quoting needs,Supplier Quote Analyzer,CONFIRMED,Wire forming and fabrication
Specialty Manufacturing,Manufacturing,Valves/Contract Mfg,Chicago Area,25-45,$5M-$12M,specialtymfg.com,Valves and quick couplings — contract manufacturing with quality compliance,Quality Docs,CONFIRMED,Valves and quick couplings plus contract manufacturing services
Alcon Industries,Manufacturing,Contract Manufacturing,Chicago Area,20-40,$3M-$8M,alconindustries.com,Contract manufacturer with multi-client PO management,AP Autopilot,CONFIRMED,Alcon Industries — manufacturing
Central Steel & Wire,Manufacturing,Steel Distribution,Bedford Park,60-100,$15M-$20M,centralsteel.com,Steel service center — high invoice volume,AP Autopilot,CAVEAT,Subsidiary of Ryerson — may not control own automation budget

LOGISTICS — CONFIRMED
Sunset Transportation,Logistics,3PL,Chicago Area,40-60,$10M-$20M,sunsettrans.com,Mid-size 3PL with dispatch and customer communication pain,Dispatch Autopilot,CONFIRMED,Certified 3PL logistics company
Circle Logistics,Logistics,Freight Brokerage,Chicago Area,40-60,$10M-$20M,circledelivers.com,Growing broker — quoting speed is competitive differentiator,Rate Quote Accelerator,CONFIRMED,Circle Logistics freight brokerage
Barrett Distribution Centers,Logistics,Warehousing/3PL,Romeoville,50-80,$10M-$20M,barrettdistribution.com,Warehouse operations with shipping doc and customer update needs,Dispatch Autopilot,CONFIRMED,Barrett Distribution — warehousing and fulfillment
Approved Freight Forwarders,Logistics,Freight Forwarding,Elk Grove Village,20-35,$5M-$10M,approvedforwarders.com,Near O'Hare — international freight with heavy documentation,BOL Processor,CONFIRMED,Approved Freight Forwarders — international
Cornerstone Freight,Logistics,Freight Brokerage,Schaumburg,15-25,$3M-$6M,cornerstonefreight.com,Small broker — quoting speed directly impacts win rate,Rate Quote Accelerator,CONFIRMED,Cornerstone Freight LLC
Capacity LLC,Logistics,3PL/Fulfillment,Chicago Area,30-50,$5M-$12M,capacityllc.com,Product fulfillment 3PL with shipment tracking and customer update needs,Dispatch Autopilot,CONFIRMED,3PL product fulfillment company
Transervice Logistics,Logistics,Fleet Management,Chicago Area,30-60,$8M-$15M,transervice.com,Transportation and logistics management — fleet tracking and customer updates,Dispatch Autopilot,CONFIRMED,Transportation and logistics management
dfYOUNG,Logistics,Freight Forwarding,Chicago Area,25-40,$5M-$10M,dfyoung.com,Logistics and freight forwarding — document processing heavy,BOL Processor,CONFIRMED,Logistics solutions provider
AIT Worldwide Logistics,Logistics,3PL,Itasca,60-100+,$15M-$20M+,aitworldwide.com,Large 3PL near O'Hare — dispatch and document processing at scale,Dispatch Autopilot,CAVEAT,Global freight forwarder — may be too large for Tier 1
Kenco Logistics,Logistics,Warehousing/3PL,Joliet,50-80+,$10M-$20M+,kencogroup.com,Supply chain management with document processing needs,BOL Processor,CAVEAT,May be too large — good networking target

PROFESSIONAL SERVICES — CONFIRMED
Porte Brown,Professional Services,Accounting/CPA,Elk Grove Village,30-45,$5M-$10M,portebrown.com,CPA firm serving manufacturing clients — report generation,Financial Report Autopilot,CONFIRMED,Top Chicago tax accountant and CPA services
Cohen & Company,Professional Services,Accounting/CPA,Chicago (Loop),25-40,$5M-$10M,cohenco.com,National CPA firm with Chicago office — proposals and reports,Proposal Generator,CONFIRMED,Award-winning tax assurance and consulting
Sassetti LLC,Professional Services,Accounting/CPA,Oak Brook,15-25,$2M-$5M,sassetti.com,Small-mid CPA firm — client onboarding and report generation,Client Onboarding,CONFIRMED,Sassetti LLC — CPA firm
Satz CPA,Professional Services,Accounting/CPA,Chicago Area,10-20,$2M-$4M,satzcpa.com,Small CPA practice — onboarding and monthly reports,Financial Report Autopilot,CONFIRMED,Small CPA firm — good quick win candidate
Citrin Cooperman (fka ORBA),Professional Services,Accounting/CPA,Chicago (Loop),30-50+,$5M-$12M+,citrincooperman.com,Recently acquired ORBA — expanding Chicago presence with integration needs,Client Onboarding,CONFIRMED,Acquired ORBA — may have onboarding/integration pain from merger
Levenfeld Pearlstein,Professional Services,Law Firm,Chicago (Loop),40-60,$8M-$15M,lplegal.com,Mid-size law firm with client intake and document-heavy processes,Client Onboarding,CONFIRMED,LP — law firm built on client service
Quarles & Brady,Professional Services,Law Firm,Chicago (Loop),30-50,$8M-$15M,quarles.com,Regional firm — proposal and onboarding workflows,Proposal Generator,CONFIRMED,Quarles attorneys/law firm
Edelson PC,Professional Services,Law Firm,Chicago (Loop),25-40,$5M-$12M,edelson.com,Tech-forward plaintiff firm — likely early AI adopter,Email Triage,CONFIRMED,Nationally recognized plaintiffs firm
Laner Muchin,Professional Services,Law Firm,Chicago (Loop),20-35,$5M-$10M,lanerlaw.com,Employment law — meeting-heavy practice with CRM needs,Meeting Intelligence,CONFIRMED,Redirects from lanermuchin.com — confirmed
Much Shelist,Professional Services,Law Firm,Chicago (Loop),40-60,$8M-$15M,muchlaw.com,Full-service law firm — meeting intelligence and proposals,Meeting Intelligence,CONFIRMED,Much Shelist P.C. — Chicago law firm
Chuhak & Tecson,Professional Services,Law Firm,Chicago (Loop),25-40,$5M-$10M,chuhak.com,Mid-size firm — client onboarding and meeting follow-ups,Client Onboarding,CONFIRMED,Chuhak & Tecson — Chicago law firm
Robbins Schwartz,Professional Services,Law Firm,Chicago (Loop),25-40,$5M-$10M,robbins-schwartz.com,Education law firm — specialized proposals and client management,Proposal Generator,CONFIRMED,Chicago education law attorneys
Goldberg Kohn,Professional Services,Law Firm,Chicago (Loop),30-50,$5M-$12M,goldbergkohn.com,Chicago law firm — meeting intelligence and client workflows,Meeting Intelligence,CONFIRMED,Goldberg Kohn — Chicago law firm
Litchfield Cavo,Professional Services,Law Firm,Chicago (Loop),30-50,$5M-$12M,litchfieldcavo.com,Insurance defense firm — high volume client reporting and proposals,Proposal Generator,CONFIRMED,Litchfield Cavo — Chicago law firm
Clarity Partners,Professional Services,IT Consulting,Chicago (Loop),20-35,$3M-$8M,claritypartners.com,IT consultancy — proposal and meeting follow-up needs,Meeting Intelligence,CONFIRMED,Chicago management and technology consulting
Amundsen Davis (fka SmithAmundsen),Professional Services,Law Firm,Chicago (Loop),50-80,$10M-$20M,amundsendavislaw.com,Mid-size firm — meeting intelligence and proposals,Meeting Intelligence,CONFIRMED,Rebranded from SmithAmundsen
Taft Stettinius & Hollister,Professional Services,Law Firm,Chicago (Loop),40-60,$8M-$15M,taftlaw.com,Regional firm — meeting intelligence and onboarding,Meeting Intelligence,LIKELY VALID,403 on website but well-known regional firm

NETWORKING TARGETS (Too Large for Tier 1 but Valuable)
Sikich,Professional Services,Accounting/Advisory,Naperville,80-100+,$15M+,sikich.com,Large advisory — networking and referral target,Meeting Intelligence,TOO LARGE,Consulting/technology/compliance — referral source
Wipfli,Professional Services,Accounting/Advisory,Chicago Area,60-100+,$15M+,wipfli.com,Large advisory — networking target,Proposal Generator,TOO LARGE,Acquired KOS — referral source
Plante Moran,Professional Services,Accounting/CPA,Chicago (Loop),40-60,$8M-$15M,plantemoran.com,Large national CPA firm — networking target,Client Onboarding,TOO LARGE,Networking and case study referral
Echo Global Logistics,Logistics,3PL/Freight Brokerage,Chicago (Loop),100+,$20M+,echo.com,Major freight broker — networking only,Rate Quote Accelerator,TOO LARGE,Publicly traded — referral/awareness only
West Monroe,Professional Services,Management Consulting,Chicago (Loop),100+,$15M+,westmonroe.com,Global consultancy — networking only,Meeting Intelligence,TOO LARGE,Networking and referral source
